case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JA173553,2017-03-03T18:20:00Z,720 ILCS 570.0/407-B-1,MFG/DEL HEROIN/SCH/PUB HS/PK,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,64697
JB512615,2018-11-12T06:55:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,30661
JA146950,2017-02-09T04:10:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,79927
JA413888,2017-09-01T01:20:00Z,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,58241
JA147047,2017-02-09T06:55:00Z,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,9-8-020(C)(1),DISOBEY RED CIRCULAR STEADY SIGNAL STOP,NA,NA,NA,NA,91982
JB215526,2018-04-08T05:09:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,F,720 ILCS 5.0/12-2-C-2,AGG ASSAULT/DISCHARGE FIREARM,F,NA,NA,NA,NA,NA,NA,21350
JC330997,2019-07-02T05:20:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17196
JB118041,2018-04-20T17:00:00Z,720 ILCS 5.0/19-1-A,BURGLARY,F,720 ILCS 5.0/19-1-A,BURGLARY,F,720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,F,720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,F,78943
JA413697,2017-08-31T21:30:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,39851
JC182786,2019-03-12T19:55:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 600.0/3.5-A,PCS - DRUG PARAPHERNALIA - POSSESS,M,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,49108
JA170054,2017-02-28T20:05:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,83270
JA146773,2017-02-09T01:07:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,42365
JB130261,2018-01-26T17:11:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,12437
JB404337,2018-08-22T22:32:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,36351
JA192286,2017-03-19T10:21:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,37967
JB385966,2018-08-09T16:52:00Z,720 ILCS 570.0/401.5-A-5,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,60132
JB304828,2018-06-13T14:50:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,87997
JC277978,2019-05-25T16:33:00Z,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,28388
JA273711,2017-05-22T03:15:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,96429
JA516717,2017-11-21T21:34:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,720 ILCS 5.0/26.5-2-A-2,PHONE HARASSMENT/NO CONVERSATION,M,NA,NA,NA,33923
JA421280,2017-09-06T22:50:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,81354
JB453582,2018-11-22T06:33:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHD CONTROL>$500<$10K,F,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,M,9-40-090,DIMMING HEADLIGHTS REQUIRED,NA,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,NA,74079
JB314174,2018-06-20T00:06:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,98246
JA328890,2017-06-30T18:30:00Z,720 ILCS 5.0/12-5-A,RECKLESS CONDUCT,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,NA,NA,NA,NA,NA,NA,37318
JB126694,2018-01-23T19:00:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,82491
JA132612,2017-01-28T04:34:00Z,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29302
JA112474,2017-01-12T02:30:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,F,720 ILCS 5.0/12-2-C-1,AGG ASSAULT/USE DEADLY WEAPON,M,NA,NA,NA,NA,NA,NA,38036
JC349259,2019-07-15T08:52:00Z,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,625 ILCS 5.0/12-603.1,IVC - NOT WEARING SEAT BELT/PASSENGER,NA,NA,NA,NA,NA,NA,NA,47156
JB503059,2019-01-01T23:25:00Z,720 ILCS 550.0/5-D,CANNABIS - MFG/DEL - 30-500 GRMS,F,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHD CONTROL>$500<$10K,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,25370
JB237473,2018-04-25T18:12:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,36790
JC393091,2019-08-15T05:58:00Z,625 ILCS 5.0/6-303-A,DRIVING ON REVOKED LICENSE,M,625 ILCS 5.0/3-703,IVC - IMPROPER USE REGISTRATION/TITLE,M,9-40-200(B),OPERATOR SIGNAL REQUIRED 100FT OF TURN,NA,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,48898
JC559503,2019-12-25T07:25:00Z,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,63703
JB358549,2018-07-21T05:08:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,15279
JA335814,2017-07-05T22:15:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17957
JA161397,2017-02-21T04:00:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,37775
JA381541,2017-08-07T21:40:00Z,625 ILCS 5.0/6-101,DRIVING/NO LICENSE/PERMIT/AGE,M,8-26-020-A,GUN OFFENDER DUTY TO REGISTER AND TO VERITY,NA,9-76-160(F),REGISTRATION PLATES,NA,NA,NA,NA,25486
JC156446,2019-02-18T07:35:00Z,720 ILCS 570.0/401-C-2,PCS - MFG/DEL1<15 GR COCAINE/ANLG,F,720 ILCS 570.0/401-C-1,PCS - MFG/DEL 1<15 GR HEROIN/ANALOG,F,625 ILCS 5.0/12-208-B,IVC - NO TURN SIGNAL LIGHTS/ 1ST & 2ND,NA,625 ILCS 5.0/6-112,DRIVER'S LICENSE/PERMIT - FAIL TO CARRY/DISPLAY,NA,77626
JA156058,2017-02-16T21:15:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,46451
JB308263,2018-06-15T20:30:00Z,720 ILCS 5.0/33A-2-A,ARMED VIOLENCE/CATEGORY I,F,720 ILCS 570.0/402-A-1-A,PCS - POSSESS 15<100 GRAMS HEROIN,F,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,57935
JB389794,2018-08-12T09:07:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,39800
JC442157,2019-09-21T07:00:00Z,720 ILCS 5.0/24-1.1-A,"UUW - WEAPON - FELON, POSSESS/USE FIREARM",F,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,F,720 ILCS 5.0/31-1-A-7,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR INJ,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,38629
JB299999,2018-06-10T04:49:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,5209
JA112401,2017-01-12T01:22:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,2192
JC260431,2019-05-13T00:30:00Z,720 ILCS 5.0/16-3-A,THEFT -  LABOR/SERVICES/PROPERTY,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,50672
JC187327,2019-03-16T07:45:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,10864
JA546150,2017-12-12T17:13:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,78270
JC476181,2019-10-17T19:07:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,31045
JC503060,2019-11-08T17:46:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,9083
JC239323,2019-04-26T20:19:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,34256
JB252842,2018-05-07T00:55:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,44572
JA101085,2017-09-01T21:24:00Z,720 ILCS 5.0/11-1.40-A-1,PRED CRIM SEX ASLT/VICTIM <13,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,15111
JB257726,2018-05-10T15:45:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,92489
JC388801,2019-08-12T05:34:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,4249
JC132586,2019-01-28T21:15:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,25077
JA258277,2017-05-10T21:10:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17402
JA169894,2017-02-28T18:00:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,35265
JB497431,2018-10-31T14:49:00Z,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,M,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,M,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,NA,9-20-010(C),USING ALLEY AS THRU STREET/VIOL SIGNS,NA,8807
JB199807,2018-03-26T06:50:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,76740
JA399671,2017-08-21T03:08:00Z,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,47034
JC275612,2019-05-23T22:42:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,4-64-350,CERTAIN TRANSACTIONS - PROHIBITED,NA,NA,NA,NA,NA,NA,NA,70389
JC137739,2019-02-02T21:20:00Z,720 ILCS 5.0/12-2-B-7,AGG ASSAULT/STATE OF IL EMP,M,720 ILCS 5.0/12-2-B-7,AGG ASSAULT/STATE OF IL EMP,M,NA,NA,NA,NA,NA,NA,16251
JB503628,2018-11-05T02:35:00Z,720 ILCS 5.0/12-3-A-1,BATTERY - CAUSE BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,44551
JA154170,2017-02-15T05:58:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,69494
JC496598,2019-11-03T09:37:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,90263
JA403884,2017-08-24T09:11:00Z,720 ILCS 5.0/18-4-A-4,VEHICULAR HIJACKING - AGG - FIREARM,F,720 ILCS 5.0/18-2-A-2,ROBBERY - ARMED W/ FIREARM,F,720 ILCS 570.0/402-A-1-A,PCS - POSSESS 15<100 GRAMS HEROIN,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,27401
JA119926,2017-01-18T05:40:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,73096
JA176061,2017-03-05T23:00:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,38141
JB113328,2018-01-12T14:30:00Z,720 ILCS 5.0/16-1-A-1,THEFT/UNAUTHORIZED CON/$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,20158
JB379631,2018-08-05T23:20:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,50525
JC322386,2019-06-26T13:25:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,94093
JB116891,2018-01-15T19:20:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,28749
JC337881,2019-07-07T02:47:00Z,720 ILCS 5.0/24-5-B,POSS FIREARM W/DEFACED SERIAL NUMBER,F,720 ILCS 5.0/24-1.6-A-1,AGG UUW/LOADED-NO FCCA-FOID,F,NA,NA,NA,NA,NA,NA,97653
JA163104,2017-02-22T16:43:00Z,35 ILCS 135.0/30-A,POSS>9<101 UNSTAMPED CIG,M,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,M,4-64-100,LICENSE REQUIRED/RETAIL TOBACCO,NA,3-42-020(D),NO CIGARETTE TAX STAMP,NA,59830
JC449991,2019-09-27T04:29:00Z,720 ILCS 5.0/12-3.9-A,VIO STALK NO CONTACT ORDER,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,28918
JA513078,2017-11-15T22:45:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,16077
JC215627,2019-04-08T01:57:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,43368
JC142132,2019-02-06T16:11:00Z,720 ILCS 570.0/407-B-1,MFG/DEL HEROIN/SCH/PUB HS/PK,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,18015
JA265246,2017-05-16T01:35:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,72278
JB506178,2018-11-06T22:15:00Z,720 ILCS 570.0/401-D-I,OTHER AMT NARCOTIC SCHED I&II,F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,21388
JC538214,2019-12-07T19:32:00Z,720 ILCS 570.0/401.5-A-5,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,89337
JC136075,2019-02-01T14:40:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,78478
JC165745,2019-02-26T01:15:00Z,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,75636
JA318326,2017-06-22T21:56:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,33589
JC160737,2019-06-21T19:00:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,13746
JA406123,2017-08-25T23:45:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,46681
JA461647,2017-10-07T06:46:00Z,720 ILCS 5.0/24-1.5-A,RECKLESS DISCH FIREARM - ENDANGER,F,720 ILCS 5.0/24-1.6-A-2,AGG UUW/PERSON/<21,F,NA,NA,NA,NA,NA,NA,8669
JA566186,2017-12-29T02:30:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,94986
JB568483,2018-12-27T06:47:00Z,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,48311
JA243013,2017-04-28T21:35:00Z,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,M,720 ILCS 5.0/12-2-B-4,AGG ASSAULT PC OFFICER/VOLUNTEER,M,720 ILCS 5.0/31-1-A,RESISTING/OBSTRUCT/PC OFF/CORR EMP/FRFTR,M,8-4-030,DRINKING ALCOHOL ON THE PUBLIC WAY,NA,69199
JB325444,2018-06-27T22:19:00Z,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/3-707-A-5,UNINSURED MTR VEH,M,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,9-76-160(A),DISPLAY ST REG-FRONT/REAR,NA,80385
JC323686,2019-06-27T05:15:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,76558
JA242683,2017-04-28T18:45:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,91191
JC445857,2019-09-24T03:23:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,70046
JB532634,2018-11-29T02:56:00Z,8-26-050,GUN OFFENDER DUTY TO REPORT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40423
JC496752,2019-11-03T14:27:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,6552
JB217641,2018-04-10T01:10:00Z,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,75548
JA501884,2017-11-07T03:59:00Z,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,720 ILCS 5.0/12-3.05-D-4,AGG BATTERY/PEACE OFFICER,F,38244
JC126963,2019-01-23T22:15:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,73697
JC282692,2019-05-29T04:55:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,69463
JB527498,2018-11-24T21:48:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,77347
JC110508,2019-03-19T19:07:00Z,720 ILCS 5.0/21-1-A-1,CRIM DMG TO PROP $300-10K,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,25308
JC304602,2019-06-13T17:10:00Z,720 ILCS 5.0/31-4.5-A,OBSTRUCTING IDENTIFICATION,M,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,9-40-060,DRIVING ON BICYCLE PATHS,NA,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEHICLE,NA,14768
JC215592,2019-04-08T00:45:00Z,720 ILCS 5.0/24-1.5-A,RECKLESS DISCH FIREARM - ENDANGER,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,99625
JB390898,2018-08-13T04:25:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,30921
JB497053,2018-10-31T04:00:00Z,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,625 ILCS 5.0/3-707,INSURANCE - OPERATE MTR VEHICLE WITHOUT,NA,9-40-200(B),OPERATOR SIGNAL REQUIRED 100FT OF TURN,NA,NA,NA,NA,19383
JC335991,2019-07-05T18:50:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,42053
JB275677,2018-05-23T23:35:00Z,520 ILCS 5.0/1.22,RESIST/OBSTRUCT OFFICER,M,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,92827
JB345177,2018-07-11T17:46:00Z,720 ILCS 5.0/24-1.1-A,UUW - WEAPON - FELON/PAROLE-POSSESS/USE FIREARM PRIOR,F,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,9-24-010(B),STOP AT STOP SIGN,NA,NA,NA,NA,62714
JA295470,2017-06-06T22:58:00Z,625 ILCS 5.0/4-104-A-4,POSS TITLE/REGISTRATION NOT AUTHORIZED ON VEHICLE,M,625 ILCS 5.0/3-701-1,NO VALID REGISTRATION,NA,NA,NA,NA,NA,NA,NA,91662
JC297979,2019-06-08T23:50:00Z,720 ILCS 5.0/21-3-A-1,CRIMINAL TRESPASS TO REAL PROPERTY,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,17555
JA247396,2017-05-02T14:55:00Z,720 ILCS 5.0/12-3.2-A-1,DOMESTIC BATTERY - BODILY HARM,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,34843
JA153117,2019-09-11T20:20:00Z,720 ILCS 5.0/19-1-A,BURGLARY,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,87858
JC503934,2019-11-09T06:15:00Z,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,M,625 ILCS 5.0/3-707-A,OPERATE UNINSURED MTR VEH/3+,NA,9-64-140(B),COMMON-CARRIER VEHICLE STOPS AND STANDS,NA,5076
JC198807,2019-03-25T16:11:00Z,720 ILCS 570.0/402-C,PCS - POSSESSION - POSS AMT CON SUB EXCEPT (A)(D),F,NA,NA,NA,NA,NA,NA,NA,NA,NA,49277
JC503551,2019-11-09T00:08:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$500,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,26429
JB160840,2018-02-22T08:50:00Z,720 ILCS 5.0/21-1-A-1,CRIM DAMAGE TO PROPERTY <$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,23046
JA522456,2017-11-23T09:35:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BATTERY - PHYSICAL CONTACT,M,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,70174
