case_number,arrest_date,charge_1_statute,charge_1_description,charge_1_type,charge_2_statute,charge_2_description,charge_2_type,charge_3_statute,charge_3_description,charge_3_type,charge_4_statute,charge_4_description,charge_4_type,person_id
JD245654,2020-05-28T21:15:00Z,720 ILCS 5.0/12-3-A-2,BATTERY - MAKE PHYSICAL CONTACT,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,71893
JA182496,2017-03-10T23:00:00Z,720 ILCS 570.0/401.5-A-5,PCS - MFG - POSSESS ANY SUBSTANCE W/INTENT,F,10-8-515,SOLICITING UNLAWFUL BUSINESS,NA,NA,NA,NA,NA,NA,NA,64388
JA357388,2017-07-21T18:05:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,68576
JF364594,2022-08-21T12:44:00Z,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BTRY/PHYSICAL CONTACT,M,720 ILCS 5.0/12-3.2-A-2,DOMESTIC BTRY/PHYSICAL CONTACT,M,720 ILCS 5.0/12-1-A,ASSAULT - SIMPLE,M,NA,NA,NA,72503
JC428505,2019-09-11T13:41:00Z,720 ILCS 5.0/21-3-A-2,CRIMINAL TRESPASS TO LAND,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,3178
JE148257,2021-02-22T02:19:00Z,625 ILCS 5.0/6-303-A,DRIVING ON SUSPENDED LICENSE,M,625 ILCS 5.0/3-703,IVC - IMPROPER USE REGISTRATION/TITLE,M,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,9-76-160(A),DISPLAY ST REG-FRONT/REAR,NA,2743
JE306062,2021-07-19T02:43:00Z,720 ILCS 550.0/4-C,POSS CAN/>30-100 GRAM/1ST,M,625 ILCS 5.0/6-101,DRIVING/NEVER ISSUED LICENSE,M,9-76-050(B),HEADLIGHT TWO REQUIRED-MOTOR VEHICLE,NA,NA,NA,NA,2716
JB564323,2018-12-23T02:00:00Z,725 ILCS 5.0/110-3,ISSUANCE OF WARRANT,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,77649
JD388277,2020-10-04T15:47:00Z,720 ILCS 5.0/16-25-A-1,RETAIL THEFT/DISP MERCH/<$300,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,18111
JD154072,2020-02-16T22:09:00Z,720 ILCS 5.0/24-1.6-A-1,AGG UUW/VEHICLE/NO FOID,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,14528
